Text,Explanations,Aspect
“So from years on I've been experiencing depression and anxiety it's been going for a long time had treatments done but still wasn't enough I'm still struggling everyday in life and I feel lost alone”,experiencing depression and anxiety/ feel lost alone/ struggling every day in life/,3
"“I am visiting her during the day... I work full-time, she has a niece who lives next door however not everyone is available full time for care, medication, home maintenance.”",Not everyone is available full time/,2
"""I can’t do it, all of it. My head hurts, my eyes hurt.""",can’t do it/ head hurts/ eyes hurt/,3
"""I fear he is losing interest and so now I am tearing myself apart trying to figure out what is wrong with me.""",tearing myself apart/ trying to figure out what is wrong with me/ fear/,3
“I have just started a second line treatment in addition to my regular antidepressant.”,second line treatment/ regular antidepressant/,1
"“I feel like I’m grieving, and feel also guilt all the time. I try to just go about life - I feel so sorry for him but that doesn’t help me to co trip how I feel when I’m around.”",feel like I’m grieving/ feel guilt all the time/ feel so sorry/ that doesn’t help/ try to just go about life/,3
“That part of my heart has been left empty and hurting since and I don't want to mean to be nasty but when my father does pass away I want to be able to go to my mum and say why?”,part of my heart has been left empty and hurting/,3
"""since I was a teenager, I’ve just never felt normal and I’ve always had this cloud of gloom hanging over me that I can’t shake.""",never felt normal/ cloud of gloom hanging over/ ,3
"“I don’t feel like doing anything like going out of the house anymore, I haven’t for months.”",don't feel like doing anything/,1
“My boss is the reason I want to leave (one eg. she blames me for everything - even customers turning up late).”,want to leave/ blames me for everything/,0
"“I am so miserable, I feel dead and all I see is darkness. I am in my early 50's. I need some serious help. I'm on a lot of medications, some that make me drowsy. I have trouble sleeping at night.”",on a lot of medications/ make me drowsy/ trouble sleeping at night/,1
"""Her passing has been a very confusing and painful experience.""",passing/ confusing and painful experience/,3
“Not only am I seeking them to modify how they communicate but also listen and have a dialogue on how to help me with making connections with people and improving my quality of life.”,Help me with making connections with people/,2
"“I am feeling betrayed, hurt, angry and very low.”",feeling betrayed/ hurt/ angry/ very low/,3
“I have also been struggling with my mental health since I was 10 and I have autism so not many people get me”,have autism/ struggling with mental health/ ,1
"“I’ve had a loving but very strict, almost suffocating upbringing & witnessed domestic abuse, I still flinch even though my current situation is not abusive.”",Domestic abuse/ flinch/,1
"""Work, Life, relationships are all difficult to manage these days and I find myself pushing everything away and making myself worse.""","Work, life, relationships are all difficult to manage/ find myself pushing everything away/ making myself worse/",0
"""He has isolated himself especially since COVID, won't leave the house alone.""",Isolated himself/ won’t leave the house alone/,2
“How do I stop looking at my phone for his messages? How do I stop feeling lonely and unloved? How do I stop missing him/us?”,How do I stop looking at my phone for his messages/ lonely and unloved/ How do I stop missing him/ ,2
“I’m thinking negative or worrying thoughts and rarely thinking positively.”,thinking negative/ worrying thoughts/ rarely thinking positively/,3
“My anxiety is negatively affecting my life in different ways and keeps me up at night. I smoke a lot of marijuana to stop dreaming and go to sleep easier.”,keeps me up at night/ smoke a lot of marijuana to stop dreaming and go to sleep easier/,1
“I think his passing actually affects me more these days than it did on the day.”,His passing actually affects me more these days/,2
“I am wallowing in self-pity because I now realise I was predisposed to depression and anxiety from childhood”,wallowing in self-pity/ predisposed to depression and anxiety/,3
“I'm at my absolute bloody wits end . But went into three gym and these workers just were laughing at me and giving me a really smug /rude look... just annoys me”,absolute bloody wits end/,3
"“haven't grown as a person or matured. I hate how I speak and type, I feel so stupid and sound so dumb”",hate how I speak and type/ feel so stupid/ sound so dumb/,3
"""I’ve blocked my extended family out of my life they are very judgmental people and don’t understand what I’m going through.""",Blocked my extended family/ very judgemental people/ ,2
"""She is very bright and capable of being a functioning member of society, but she doesn't seem to have any desire to.""",capable of being a functioning member of society/she doesn't seem to have any desire to./,0
“I don't know if there is any hope for our relationship or not. He has not spoken to me in 3 days and I don't know if he has decided he has had enough of this.”,don't know if there is any hope for our relationship now/ has not spoken to me in 3 days/ ,2
"“Nothing I plan works out. I am always overwhelmed and know the cleaning won't be good enough, so I put it off endlessly. Then my depression and anxiety takes over. I wish I could just clean like other people""",Nothing I plan works out/ always overwhelmed/ put it off endlessly/ depression and anxiety takes over/ wish I could just clean like other people/,3
“I’ve tried keeping up exercising and making friends but my energy has dropped  and I feel like I can’t be bothered anymore.”,keeping up exercising/  energy has dropped/,1
"""I tried to take my own life as my kids had stopped talking to me for reasons I wish I understood.""",tried to take my own life/,3
"""I’ve learned I have premature menopause and I’m likely infertile. I’m finding it so upsetting and triggering of these feelings, like of course I am I always knew I’d be alone because I’m defective and unlovable.""",finding it so upsetting and triggering of these feelings/  I always knew I’d be alone because I’m defective and unlovable/,3
“i continue to find that i don't look forward to anything anymore.”,don't look forward to anything anymore/,3
"""My father’s side of the family haven’t spoken to me since and it’s been nearly 4 years since my father’s passing.""",Father’s side of the family haven’t spoken to me/,2
"“This is severe, agonizing torture that poison my brain that have suffocating me for years, yet my brain still tells me that I am over reacting?”","severe, agonising torture/ suffocating me for years/ over reacting/",3
"“I am feeling a lot of guilt around my brothers suicide. I know this is common, and I know I'm being too harsh on myself. ”",feeling a lot of guilt/ suicide/ being too harsh on myself/,3
"""I'm having a hard time getting out of the shame spiral this week, but trying to remember this is only temporary.""",having a hard time getting out of the shame spiral/ trying to remember this is only temporary/,3
"""None of the trauma I have been through is like this. This feeling is indescribable.""",trauma / feeling is indescribable,3
"""I'm getting flashbacks of trauma I experienced at age 5, and all the fights they've had.""",Flashbacks of trauma/,3
“I have hit a brick wall.”,Hit a brick wall/,1
"""Something happened this week and I feel so sad and lonely. I just want it to end. I want to tell someone but everyone seems so happy. Or I don’t know how.""",feel so sad and lonely/ just want it to end/ ,3
"“I have been getting excellent mental health treatment, but still felt really worn down about life""",felt really worn down about life/,3
“Sometimes I feel really helpless and that really scares me because I feel trapped and I don’t want it to be like this forever.”,feel really helpless/ really scares/ feel trapped/ don’t want it to be like this forever/,3
"“I’m terrified it won’t be enough, or that I’ll crack under the pressure.”",terrified/ pressure/,3
"“I wish everyday I would go to sleep and not wake, crazy how it all works.”",Wish everyday I would go to sleep and not wake/,3
“makes me doubt my performance”,Doubt my performance/,0
"""A lot to take in but I'm over it all and don't know where to start.""",lot to take in/ don't know where to start/,3
"""I have no family my mum died a year ago and haven't seen my dad or siblings for years I have no friends I'm so lonely I want to find love but I'm thinking this will be impossible.""",Have no family/ have no friends / so lonely/ want to find love/,2
“I've been having some suicidal thoughts which I was speaking to my psychologist about. I've been feeling slightly better after about 3 weeks of these intense thoughts (I think?) but I'm just so confused where I'm at.”,Suicidal thoughts/ just so confused where I’m at/,3
"""I have a good job, good family yet I increasingly feel like I don’t know what makes me who I am.""",What makes me who I am/,0
"“his ex wife is withholding his daughter. This is where his problem is ....He cannot see his daughter and it's causing him severe anxiety . He dearly loves his daughter and misses her so much,""",Loves his daughter and misses her so much/,2
"""I lost my little 18 yr old child on Saturday. """,lost my little child/,3
"“I want them to move out, but it is not happening so I am living in this state of toxicity and aggression 24/7 as they are always home, and I work from home.”",Living in this state of toxicity and aggression/ ,0
"""It is so hard not to overthink things.""",Hard not to overthink things/,0
“I have mild anxiety. NOT DEPRESSION.”,mild anxiety/ ,1
“I’ve self harmed to relive my anxiety.”,self harmed/,1
"""He's triggered easily and responds with self-hate. I struggled to hear him saying 'I hate myself' in front of the kids.""",triggered easily and responds with self-hate/ hate myself/,3
"""I want to be someone different from them. I don't want to end up like them.""",want to be someone different/ don't want to end up like them/,0
"""He still can’t be open emotionally with me. He shuts me out and can’t be affectionate with me.""",can’t be open emotionally/ shuts me out and can’t be affectionate/,3
"""My wife has asked for a separation, and I'm after some perspectives from anyone who has gone through something similar.""",My wife has asked for a separation/,2
"""I have Bipolar Disorder, Attention deficit disorder, and manic depression and often find these invasive thoughts debilitating.""",Bipolar Disorder/ Attention deficit disorder/ manic depression/,1
"“I always think to myself why do I bother with anything and I think it's because I'll continue to try to help myself, but I am worried that I will give up all hope and put myself in a much darker spot.”",bother/ worried/ give up all hope/ ,3
"“It is a pretending day today.I have to pretend that I am okay. I have to pretend that my sense of humor is back and I am engaging people like I used too.But it is just a front. Inside it is a hollow feeling, even as I am doing it.”",pretend that I am okay/ pretend that my sense of humour is back/ hollow feeling/ ,3
“I get angry because I wish I had known how to help myself 20 years ago.”,get angry/ wish I had known how to help myself/,3
"""I find myself despising his behaviour, which I find selfish; inconsiderate.""",despising his behaviour/ selfish/ inconsiderate/,3
"“Anyway, feeling so scared & alone right now, I didn’t know where else to reach out”",Scared & alone right now/,2
"""Just as I’ve started to explore that more I’ve learned I have premature menopause and I’m likely infertile.""",premature menopause/ likely infertile/,1
"“He says things like......He wants to 'unlive' He doesn't want to be here anymore..He is in pain, he misses his little girl...its all a vicious circle”",want to unlive/ doesn't want to be here anymore/ vicious circle/,3
“I have a dissociative disorder. Nothing works really . Multiple medications and therapies”,dissociative disorder/ Multiple medications and therapies/,1
“don't have confidence in myself.”,Don/t have confidence/,0
"“As of late, my relationship with my mum has really taken a turn for the worse.”",My relationship with my mum has really taken a turn for the worse/,2
“every time he says he'll improve but he doesn't. Lately this has escalated to full blown arguments because he keeps saying he’ll stop doing it but the behaviour doesn't change.”,Full blown arguments/ ,2
"""It’s really frustrating me and I don’t know what I can do to take my mind off it.""",frustrating/ don’t know what I can do to take my mind off it/,3
"""I feel so low that I am no longer communicative at home.""",feel so low/ ,3
" “October, I lost my job and a week later my boyfriend broke up with me. Losing the job was mostly for the best as I was unhappy there but to be broken up with a week later, hurt. He was never very affectionate and in the end it was always me who would be putting in the effort.”",Boyfriend broke up with me/ he was never very affectionate/,2
"""I’m struggling big time, all my fault I know.""",struggling big time/ all my fault/,3
"""One of the big challenges we are both dealing with is one of our adult kids is now trans. """,Our adult kids is now trans/,2
“I do not have any self love for myself and when i look in the mirror i just see something gross. its such a horrible feeling. I get married in a few months and I just want to feel happy about myself.”,do not have any self love for myself/ when I look in the mirror I just see something gross/ such a horrible feeling/ want to feel happy/,3
“I don't have any motivation to do anything and my house is so messy but I can't seem to clean it up.”,Don’t have any motivation to do anything/,0
“I’ve become aware my visual memories and flashbacks are semi distorted regarding the suicide”,Visual memories and flashbacks/ suicide/,1
"""I feel a mix of Anxiety, Depression, and PTSD all rolled into one""","feel a mix of Anxiety, Depression, and PTSD/",3
"""I feel like I self-sabotage everything and constantly struggle to cope with the situation I’ve found myself in.""",feel like I self-sabotage everything/ constantly struggle to cope with the situation/,3
"“I said 'no' when friends have asked if i’m ok but its brushed over. I have cancelled family xmas saying I cant handle it. No ONE has checked in, not once”",Cancelled family/ cant handle it/no one has checked in/,2
"""I am feeling very vulnerable atm and would really appreciate some kind of understanding or support around this.""",Very vulnerable/ some kind of understanding or support around this/,2
"""I do have type-2 diabetes which might be flaring up a bit too much and cholesterol problems run through the family.""",type-2 diabetes flaring up a bit too much/ cholesterol problems/,1
“No one asks how I am anymore in regards to my grief or loss. So I just have to pretend.”,No one asks how I am anymore/,2
"“In the 19 years I've been in the workforce, the longest I have ever been in a job is eight months. I procrastinate, get bored easily and can't stick with anything.”",Procrastinate/ get bored easily/,0
“This girl has recently showed up in my life and ruined all my friendships”,This girl has recently showed up in my life/ ruined all my friendships/,2
"""I was groomed and sexually abused by my uncle when I was 16."" ",was groomed and sexually abused/,3
“I’ve had a return of physical symptoms I had recur throughout last year - shortness of breath and feeling very unwell.”,physical symptoms/ shortness of breath/ very unwell/,1
“The emotions were buried so deep that I was not even aware of them.”,emotions were buried/,3
“I should also add my partner is not sleeping. He’s awake all night and goes to sleep for about 2-3 hours at 6am when I get up for work.”,not sleeping/ awake all night/ goes to sleep for about 2-3 hours/,1
“Misophonia.. possible ADHD and definitely on the spectrum. This makes me hypersensitive and very literal”,Misophonia/ ADHD/ hypersensitive/,1
"""This feeling is indescribable. I am not sure where to start. I don’t have the answers to heal yet but I can’t physically or mentally live how I am after this.""",feeling is indescribable/ don’t have the answers to heal/ can’t physically or mentally live/,3
“I suffer from Bipolar 2. I was diagnosed almost 3 years ago and I don't cope any better now than I did back then.”,suffer from Bipolar 2/ don't cope any better/,1
"“Never got a job while in school, never got my 'P's, dropped out of University and I don't have any hard or soft skills.”",Never got a job/ dropped out of university/ don’t have any hard or soft skills/,0
"“The liver disease I have destroys the bile ducts, and I feel like a process of internalised anger over my lifespan is likely responsible for this autoimmune disease.”",liver disease/ destroys the bile ducts/ autoimmune disease/ internalised anger/,1
“I’m also worried about him breaking all our things before property and items can be divided.”,worried/,3
"""She gets herself into a state where she thinks she’s going to suffer a medical emergency because she feels unwell when the anxiety strikes.""",suffer a medical emergency/ feels unwell/ anxiety strikes/,1
""" I'm so torn as to what to do and I don't know how to stop the racing, intrusive thoughts.""","so torn as to what to do/ racing, intrusive thoughts/",3
"""I may just be immature and insecure but if that is the case I just want to be told.""",immature and insecure/,3
“Didn't realise it at first but later discovered i was suffering from protracted withdrawal after discovering many other people describing very similar experiences after ceasing antidepressants.”,suffering from protracted withdrawal/ experiences after ceasing antidepressants/,1
“I was so angry because she didn’t help because of germs.”,so angry/ she didn’t help/,3
“when I was diagnosed with juvenile rheumatoid arthritis at 16 (first of many auto-immune diseases) I pig-headedly decided to forge on and pretend I didn't have it until it was too late and the damage had been done.”,diagnosed with juvenile rheumatoid arthritis/ auto-immune diseases/ ,1
"“I don't want to abandon him, I do love him, but I have got to the point where I'm not sure I can keep fighting for our relationship when he seems intent on finding everything wrong with us and blowing any tiny thing into an issue of epic proportions.”",Don’t want to abandon him/ not sure if I can keep fighting for our relationship/ blowing any tiny thing into an issue of epic proportions/,2
“His way of dealing with things has been to literally throw himself into work and essentially make himself as busy as he possibly can.”,dealing with things/ throw himself into work/ make himself as busy as he possibly can/,0
“We don't have the financial resources to send anyone else over to fly back with her when she deems herself ready. ”,don't have the financial resources to send anyone/,0
"“I’ve been through hell at the hands of a particular public psych ward over a number of inpatient stays which has completely eroded my trust in the psychiatric profession.""",Been through hell at the hands/ eroded my trust in the psychiatric profession/,2
""" I need to get out of this relationship it's killing me, to the point It's ruining me as a person and a mother, he won't accept my wishes and puts the guilt trip on to me and things will change, no it won't I can see that now""",need to get out of this relationship/ it's killing me/ it's ruining me/ puts the guilt trip on me/ ,3
“I visit my therapist pretty much fortnightly which is a big help but even her I cant tell her how much I think negative thoughts. I am embarrassed that I do feel this way.”,negative thoughts/ embarrassed that I do feel this way/,3
"""I’ve now been separated 9 months, most of the kids are living with me""",Separated 9 months/,2
“My fiancé is amazing and does try hard to keep me talking but i feel so bad because i shut him out sometimes and become irritated and closed off.”,I shut him out/ become irritated and closed off/,2
"""I am seeking clarity for my unhappiness, short temper, loneliness as I've been through a few life changes.""",unhappiness/ short temper/ loneliness/ ,3
"“I feel like this is slowly becoming my ""catch phrase"".I'm either depressed and feel like I might cry for no reason, or I'm stupidly angry for no reason I don't want to be this sad, angry person anymore. I want to be able to put my anger and sadness in a box and leave it there.”",Depressed/ cry for no reason/ stupidly angry for no reason/ anger and sadness/,1
“My whole sense of self has been rocked and my world turned upside down. I am now 52 and feel so stupid for trying so hard for so long with this person. I think a lot about laying down to sleep and not waking up and what a relief it would be”,Whole sense of self has been rocked/ feel so stupid for trying so hard for so long with this person/,2
“I don’t have friends now”,don’t have friends now/,2
"""I'm struggling with that, & I'm suffering anxiety & missing my peaceful home.""",struggling/ suffering anxiety/ missing my peaceful home/,3
“I have been trying to think back what have I not done or care enough for her that had led her life into such an awful darkness. I hope it is not too late to start caring for her but yet giving her space knowing I am there for her anytime.”,Care enough for her/ too late to start caring/ giving her space/ ,2
“In a 12 year relationship which was excellent until she resigned from a very stressful job .I still work a 4 day week.We now argue a lot and somehow it is always my fault. I seem to be forgetful .”,Argue a lot/ ,2
“I feel like a burden and although I have tried I can't go through with suicide.”,feel like a burden/ can't go through with suicide/,3
"""It was just, so much sadness. But it soon turned to anger.""",so much sadness/ it soon turned to anger/,3
"“It feels like everything I do is futile, and anything that may be achieved in our sessions becomes essentially useless once I leave the room.”",feels like everything I do is futile/ essentially useless/,3
"“He cheated on my partner twice in the past and they have been separated for 6 years. I don't trust his motivations in wanting to go, as he has said he didn't want to miss out on the trip with his daughters who are 25 and 22. I am being assured there is nothing to worry about, however the bpd and overthinking in me is another story.""",Cheated on my partner/ separated for 6 years/,2
"""I try to be present and in the moment but I feel like I can’t enjoy my weekend now because I have to sort it out in my head first and rationalise my actions.""",can’t enjoy my weekend/ sort it out in my head first/ rationalise my actions/,3
“Why is everything in this world so unfair? Why am I always the wrong one? Why does nobody stand beside me? Nobody agrees with me nor think of me as anything significant.”,Why does nobody stand beside me/ nobody agrees with me/,2
"""There is a lot of yelling most days between my son and his mother/my wife.""",Yelling most days between my son and his mother/,2
“I feel the need to have a man in my life so I married for the 3rd time.”,Need to have a man in my life/ married for the 3rd time/,2
“my issue is that I dream too big and have self acceptance problems.”,have self acceptance problems/ dream too big/ ,3
"""His relationship with his daughter is pretty terrible. She doesn't want to be around him, and he tries his best not to involve himself with her either.""",Relationship with his daughter is pretty terrible/,2
“I hate the way my life is and think of suicide at least twice a week. ”,hate the way my life is/ think of suicide/,3
“This has really deeply affected my trust in society. It just feels hard to understand the world when you are raised to believe these things are wrong.”,Affected my trust in society/ feels hard to understand the world/,2
"“I’m feeling sad and lonely, and even more so, I’m feeling disappointed for going back.The hamster keeps spinning the wheel in my mind.”",Sad and lonely/,2
“I just feel so stupid for staying and believing he loved me. I am left feeling ashamed.”,feel so stupid for staying/ left feeling ashamed/,3
“My biggest fear now is losing my partner. And i feel like i am pushing her away because i dont deserve to be loved.”,Fear now is losing my partner/ don’t deserve to be loved/ ,2
"""I have seen a therapist, but in the last few months I have 'put on an act' to make it seem like I'm coping a little better, just small improvements each time so it doesn't feel like I'm faking it.""",Put on an act to make it seem like I’m coping a little better/,0
"""I feel like a human pair of crutches, and I'm worn out.""",feel like a human pair of crutches/ worn out/,3
“it's not death that has me so upset... It's my reaction once I anticipate future grief. I found I shut down and block people out. It’s like I'm trying to prepare myself for life without that person. I don’t know how to stop doing this. I worry that it hurts the people I love and they may not understand why I have backed away.”,I shut down and block people out/ it hurts the people I love/,2
“I left my family home earlier this year and moved a few hours away for my dream job.”,left my family home/,2
“I can barely get out of bed because I see little point in doing so. I feel like my life is falling apart and I am sabotaging my future career by just putting in the minimum. I am anhedonic. No one seems to see it or care.”,feel like my life is falling apart/ No one seems to see it or care/,3
"“I cry every day, struggle to get out of bed in the morning”",cry every day/ struggle/,3
“I have been told that I have PTSD. Everything seems so much worse since I have started working through it. I feel like I need to stop and get over it. ”,have PTSD/ Everything seems so much worse/ feel like I need to stop and get over it/,3
"“she has always suffered depression, self medicates with alcohol mainly but does use other drugs if available to her.”",suffered depression/ self medicates with alcohol/ does use other drugs/,1
"“When I say sleep deprivation, I get less than 20 hrs sleep per week, and not all of that is quality sleep either.”",sleep deprivation/ get less than 20 hrs sleep per week/ not all of that is quality sleep/,1
"""he is 60 years old but i am only 19 and have my own mental health struggles so i didn't feel equipped to help him.""",have my own mental health struggles/ didn't feel equipped to help him/,3
"“I honestly can not win! This life I have is hard, and it's sad, I shouldn't have to suffer.”",life I have is hard/ sad/ suffer/,3
“They have all said to not worry about it but I can't stop worrying.”,can’t stop worrying/,1
"“She’s in hospital my beautiful mum I cannot lose my beautiful mum. It is just me, I don’t know how to plan a funeral I don’t even have the money for a funeral. I feel so alone.”",cannot lose my beautiful mum/ feel so alone/ ,2
"""I often wish that I would go to bed and not wake up, that way I would not have to feel so lonely and have to deal with all this hurt and heartache that I feel.""",often wish that I would go to bed and not wake up/ feel so lonely/ have to deal with all this hurt and heartache/,3
“I get so overwhelmingly heavy is the only way to describe it. Like something is sitting in my chest and stomach and I just don't want to move. Then I think maybe I am faking it.”,get so overwhelmingly heavy/ something is sitting in my chest and stomach/ don't want to move/ faking it/,3
“When he’s having his bad days I am constantly questioning my self worth. I've been trying to learn how to effectively communicate with someone with his condition but most of the time he is closed off to conversation and expects me to be able to read his mind to know what he wants.”,He is closed off to conversation/ questioning my self worth/ expects me to be able to read his mind to know what he wants/,2
“I'm single and don’t have kids. I had a falling out with a close friend about 2 years ago and lost most of my social circle through this.”,Single/ don’t have kids/ falling out with a close friend/ lost most of my social circle/,2
"""I’m tired of holding it all in.""",tired of holding it all in/,3
“Over the years I have tried to initiate intimacy but I am always rejected.”,I have tried to initiate intimacy but I am always rejected/,2
"""My wife and I argue regularly about how to address his behaviour. It's tearing us apart.""",Wife and I argue regularly/ tearing us apart/,2
"""I don’t really know who I am or what I want. I don’t feel happy, I just scrape by everyday.""",don't know who I am or what I want/ scrape by everyday/,0
“Yet deep down I know something very wrong is going on with her....I am falling apart. I love her so much. She had a terrible life until I rescued her. I hate life. It is so terrible and unfair. I have been crying almost constantly daily.”,falling apart/ hate life/ terrible and unfair/ crying almost constantly daily/,3
"""I’m struggling with depression/anxiety I’ve been on antidepressants for quite sometime now. (I’m not even sure they work)""",struggling / depression/ anxiety /,1
"""Despite knowing Australia's alright, I prefer the cultural attitude of a collectivist society and I hate the individualist approach for numerous reasons.""",Hate the individualist approach/,2
"“my mum died three days ago. It was totally unexpected, she was in perfect health, fit and energetic she was. When do you finally believe it’s real and not a joke? When do you stop feeling an ache in your chest that feels constricting and painful? Will it ever go away… I read things and it says it will but I don’t know how. Everything is so wrong and unfair.mum why did you have to leave”",mum died/ totally unexpected/ feeling an ache/ feels constricting and painful/ Will it ever go away/ Everything is so wrong and unfair/ ,3
"“I’m really worried as he has never ever acted like this. I’m at a loss on what to do. He constantly says I’m not crazy.""",really worried/ loss/ crazy/,3
"“I feel this is the massive wake up call I need but I also feel it’s just too late.""",massive wake up call/ feel it’s just too late/,3
"""She brought so much love and laughter to my life and now she’s gone.""",Now she’s gone/,2
“Recently I experienced similar abuse following the death of a family member when I was at my most vulnerable.”,Abuse/ vulnerable/,1
"""I just… feel so totally burned out.""",totally burned out/,0
"“I have a real issue with judging myself for feeling depressed or having suicidal thoughts, often thinking I am just trying to get attention when I open up about this.” ",judging myself/ feeling depressed/ having suicidal thoughts/ trying to get attention/,3
"""I can always go to after-hours clinic but want a General Practitioner who I don't have to explain my health to each time.""",Don’t have to explain my health to each time/,0
"""He also doesn’t really see how the ptsd impacts me and doesn’t acknowledge just how much his diagnosis has impacted me too. """,impacted/ doesn’t acknowledge/,3
"“When my mum was pregnant with me, she lost her mother (5mths pregnant) and then lost her husband, my dad (7mths pregnant). I feel like i went through every emotion with her. That i felt all the stress and grief and loss that my mum suffered.”",Went through every emotion/ stress/ grief and loss/,1
“Been struggling with panic attacks and suicidality since primary school.”,panic attacks,1
“My main issue is crippling anxiety which in turn has made me extremely depressed.”,crippling anxiety/ extremely depressed/,1
"“My mum and dad have cut me off and it's been like it since 2004 and my sisters don't wont anything to do with me, so basically my family have cut me off all because I left home and I'm in morning for losing my mum even though she hasn't passed away.""",family have cut me off all/ left home/ morning for losing my mum/,2
“My chest feels tight.My breath is shaky. My hands are not steady.”,chest feels tight/ breath is shaky/ hands are not steady/,1
“There are children involved and so they are now co-parenting with the ex and the relationship is hostile and antagonistic.”,Relationship is hostile and antagonistic/,2
“I refuse to go back where I’ve been and will do all I can to stay well.”,refuse to go back where I’ve been/,3
"“I have recently split from a 7 year relationship from what I now believe is a malignant narcissist. I am feeling damaged and empty, and also generally anxious and scared. I made the decision and it took 4 months to get him to actually leave the home.”",Split from a 7 year relationship/ malignant narcissist/ feeling damaged and empty/ ,2
"""I feel so pathetic, I can't deal with my Pops recent death, let alone my Mums encroaching one.""",feel so pathetic/ can't deal with my Pops recent death/ ,3
"""I didn’t tell anyone for 8yrs. When I did tell my family I wasn’t supported.”",Wasn’t supported/,2
"“I’m starting a new job soon and worry about all of it. I feel like an imposter and like they are going to be disappointed by me. I had to resign my previous job due to burnout and I don’t want to go down that road again.""",Feel like an imposter/ burnout/resign from previous job/,0
"""Medicated for ADHD.""",Medicated for ADHD/,0
"“I got a huge bill today and was told people living in our complex had an extreme rent increase too, so most likely we will also have that. I am struggling and don't know how to cope anymore.""",struggling/ don't know how to cope anymore/,3
“All my family live in the UK and I relocated to a regional area to be able to be closer to him.”,To be able to be closer to him/ ,2
"“I’m so tired of trying. Of forcing myself to get up, to eat, to go outside, to shower. I can barely work.”","forcing myself to get up, to eat, to go outside, to shower/",1
“I've been on so many different medications and overdosed on almost all of them with an intent to kill myself.”,I've been on so many different medications/ ,1
"""I love this man, I understand it’s the PTSD, he’s a great father and I see him hurting - but I am so incredibly lonely in our relationship.""",Incredibly lonely in our relationship/ ,2
“I eventually recovered. 8 years later I was triggered by something and had a massive panic attack.”,massive panic attack/ eventually recovered/,1
"""It feels like his depression has skyrocketed to the point I'm scared he might seriously harm himself.""",depression has skyrocketed/ might seriously harm himself/,3
"“I struggle a lot with anxiety, constant fear of everything. Leaving the house, answering the phone, emails, people, food, noises, shops etc. Racing thoughts and constant worry about nothing and everything. """,struggle a lot/ anxiety constant fear of everything/ Racing thoughts/ constant worry/,3
“Our family has encountered some pretty traumatic losses over the last 5-6 years.”,traumatic losses/,3
"""I have had numerous sleepless nights because of restless legs. Sometimes I only have 2 hrs sleep.""",numerous sleepless nights/ restless legs/ only have 2 hrs sleep/,1
“We have little contact i am constantly anxious about this How do we get through to him and prevent him from going down this path. I’m trying to maintain the connection it’s devastating to see him make these choices.”,We have little contact/ I’m trying to maintain the connection,2
"“I had a short fuse, I thought everyone was out to get me. It's a very exhausting way to live, I did get medication and time did heal but the need to look over my shoulder is a hard thing to conquer”",Medication/ short fuse/,1
"""I feel so shut out, so unloved.""",feel so shut out/ so unloved/,3
"""I am having an extremely difficult time with my husband who I have been with for ten years.""",Extremely difficult time with my husband/ ,2
“It is just an emotional rollercoaster.”,emotional rollercoaster/,3
“I have some stress in my life with family issues and house moving plus work pressures but My main problem is when I go to bed I’m scared I won’t sleep because I’m so anxious of not sleep and toss and turn all night.”,won’t sleep/ anxious of not sleep/ toss and turn all night,1
"""I didn't really care until years later when I realised that I wasn't going to get them back, ever.""",didn't really care/ wasn't going to get them back/,3
“I was too weak to do anything to defend myself.”,too weak to do anything/,1
"“I suffer nightmares weekly, sometimes multiple nightmares a night.”",suffer nightmares/ multiple nightmares a night/,1
"""I'm the only one. I think everyone just accepts that their normal & my bloody mind doesn't!""",I'm the only one/,2
“I know sometimes this does not help my PTSD but I am stuck in my own head thinking about how this early abusive event affected the rest of my entire life.”,does not help my PTSD/ abusive event affected the rest/,1
"“I have trouble communicating with people and engaging with them in general,”",Trouble communicating with people/ ,2
"""I have so much pain, anger, guilt, despair & resentment, on top of the constant anxiety, depression, stress & nothingness that I am so drained of wanting to be here anymore.""","have so much pain, anger, guilt, despair & resentment/ constant anxiety, depression, stress & nothingness/ so drained/",3
“It has helped me cope without my depression taking over but now I feel guilty. I didn't support my friend as I should have.”,Feel guilty/ didn’t support my friend as I should have/,2
"“I have this intense fear that if he goes there it'll somehow make him worse. Like he'll have a breakdown of worse. I am also worried he'd resent me. I am worried it wouldn't work. I am worried it will work but won't fix anything else. I am worried without weed his anxiety will come back full on again. Etc...I just don't know.""",Worried/ breakdown/,3
" ""When I hear about horrible things or horrible people it really upsets me even when it doesn’t have anything to do with me.""",horrible things or horrible people/ really upsets me /,3
"“I know I need to do something to feel more happy from my chronic depression. How do I even have this conversation with my family, friends, or even work, about needing to go into a mental health hospital? I feel really embarrassed about it. I’m not the sort of person who wants to talk about my mental health struggles.”",chronic depression/ feel really embarrassed/ mental health struggles/,3
“I’ve just changed antidepressants and the cost has increased from $15 to $75 per script. I’m finding myself cutting them in halves sometimes to save money.”,antidepressants/ ,1
"""We separated our accounts when we separated, and he now holds that against me as I work, earn and save more, and pay most of the bills."" ","he now holds that against me as I work, earn and save more, and pay most of the bills./",0
"""Her response 'can I have some privacy', I replied I am your husband, again dead silence, I walked away.”",Replied I am your husband/ walked away/,2
